LConn,LLen,LFrac,LAC,LSin,LBear,MHDn,NQPDHn,BtHn,TPBtHn,Lnkn,Lenn,AngDn,MGLHn,MCFn,MI,MWPR,MPMR,MNOR,MBCR,MNAR,MCAR,MFAR,HOLC Value
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,89589.49598,0.553817,8,10,1,0.001458,0.080426,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,47572.8006,0.231595,8,9,5,0.022277,0.039602,0.000069,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,89589.49598,0.553817,8,10,1,0.001458,0.080426,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,89589.49598,0.553817,8,10,1,0.001458,0.080426,0.000065,3
1,0.100786,0.916169,174.389298,1.001075,35.892403,63.392056,0.016447,0.356592,0.356592,2,0.110008,189.081085,0.03539,0.035348,89589.49598,0.553817,7,10,1,0.001458,0.080426,0.000065,3
3,0.034449,0.235416,26.053486,1.000024,36.066883,46.833748,0.087318,3.727637,1.242546,5,0.151905,591.933228,0.03196,0.031903,76767.47224,0.332609,8,13,3,0.004781,0.197769,0.00007,3
3,0.034449,0.235416,26.053486,1.000024,36.066883,46.833748,0.087318,3.727637,1.242546,5,0.151905,591.933228,0.03196,0.031903,76767.47224,0.332609,7,13,3,0.004781,0.197769,0.00007,3
3,0.034449,0.235416,26.053486,1.000024,36.066883,46.833748,0.087318,3.727637,1.242546,5,0.151905,591.933228,0.03196,0.031903,76767.47224,0.332609,6,13,3,0.004781,0.197769,0.00007,3
3,0.034449,0.235416,26.053486,1.000024,36.066883,46.833748,0.087318,3.727637,1.242546,5,0.151905,591.933228,0.03196,0.031903,76767.47224,0.332609,7,13,3,0.004781,0.197769,0.00007,3
3,0.034449,0.235416,26.053486,1.000024,36.066883,46.833748,0.087318,3.727637,1.242546,5,0.151905,591.933228,0.03196,0.031903,76767.47224,0.332609,6,13,3,0.004781,0.197769,0.00007,3
2,0.106753,0.729522,97.22123,1.000077,36.119793,84.594124,0.045671,1.990523,0.663508,5,0.151905,591.933228,0.074326,0.074265,85549.62749,0.647488,7,11,8,0.025058,0.047741,0.000062,3
2,0.106753,0.729522,97.22123,1.000077,36.119793,84.594124,0.045671,1.990523,0.663508,5,0.151905,591.933228,0.074326,0.074265,85549.62749,0.647488,6,11,8,0.025058,0.047741,0.000062,3
2,0.106753,0.729522,97.22123,1.000077,36.119793,84.594124,0.045671,1.990523,0.663508,5,0.151905,591.933228,0.074326,0.074265,28311.65445,0.213471,6,9,8,0.039026,0.397151,0.000065,3
2,0.106753,0.729522,97.22123,1.000077,36.119793,84.594124,0.045671,1.990523,0.663508,5,0.151905,591.933228,0.074326,0.074265,28311.65445,0.213471,6,9,8,0.039026,0.397151,0.000065,3
1,0.013507,0.378269,7.695905,1.000018,112.796471,10.482194,0.187844,0.282877,0.282877,2,0.035708,35.307247,0.012803,0.012803,89589.49598,0.553817,8,10,1,0.001458,0.080426,0.000065,3
1,0.013507,0.378269,7.695905,1.000018,112.796471,10.482194,0.187844,0.282877,0.282877,2,0.035708,35.307247,0.012803,0.012803,89589.49598,0.553817,7,10,1,0.001458,0.080426,0.000065,3
1,0.013507,0.378269,7.695905,1.000018,112.796471,10.482194,0.187844,0.282877,0.282877,2,0.035708,35.307247,0.012803,0.012803,89589.49598,0.553817,8,10,1,0.001458,0.080426,0.000065,3
1,0.013423,0.377559,9.409809,1.00008,113.097107,2.805879,0.359366,0.282525,0.282525,2,0.035551,18.852594,0.012754,0.012753,89589.49598,0.553817,7,10,1,0.001458,0.080426,0.000065,3
1,0.013423,0.377559,9.409809,1.00008,113.097107,2.805879,0.359366,0.282525,0.282525,2,0.035551,18.852594,0.012754,0.012753,89589.49598,0.553817,6,10,1,0.001458,0.080426,0.000065,3
1,0.015184,0.407525,3.896807,1.000003,112.858597,3.122997,0.447968,0.296807,0.296807,2,0.037258,5.16345,0.0131,0.0131,89589.49598,0.553817,7,10,1,0.001458,0.080426,0.000065,3
1,0.016995,0.898322,0.68102,1.000001,112.888687,1.125731,3.872179,0.360334,0.360334,2,0.018918,44.431103,0.006051,0.00605,95203.07188,0.516456,6,10,8,0.00598,0.046268,0.000065,3
1,0.016995,0.898322,0.68102,1.000001,112.888687,1.125731,3.872179,0.360334,0.360334,2,0.018918,44.431103,0.006051,0.00605,95203.07188,0.516456,6,10,8,0.00598,0.046268,0.000065,3
1,0.017444,0.467348,6.641969,1.00008,113.015801,121.100128,0.214699,0.321739,0.321739,5,0.037325,298.688355,0.012658,0.011778,95203.07188,0.516456,6,10,8,0.00598,0.046268,0.000065,3
0,0.011985,1,2.071135,1.000002,112.831856,0.694374,1.440147,0.333333,0.333333,1,0.011985,2.071135,0.003995,0.003995,95203.07188,0.516456,6,10,8,0.00598,0.046268,0.000065,3
0,0.014034,1,10.259383,1.000073,113.003861,3.424472,0.292016,0.333333,0.333333,1,0.014034,10.259382,0.004678,0.004678,36777.41018,0.069571,6,8,1,0.136032,0.070601,0.000078,3
0,0.014034,1,10.259383,1.000073,113.003861,3.424472,0.292016,0.333333,0.333333,1,0.014034,10.259382,0.004678,0.004678,36777.41018,0.069571,6,8,1,0.136032,0.070601,0.000078,3
1,0.016508,0.63069,1.198626,1.000001,112.878983,0.685203,1.874462,0.36551,0.36551,2,0.026174,7.757812,0.008304,0.008304,36777.41018,0.069571,6,8,1,0.136032,0.070601,0.000078,3
1,0.016508,0.63069,1.198626,1.000001,112.878983,0.685203,1.874462,0.36551,0.36551,2,0.026174,7.757812,0.008304,0.008304,36777.41018,0.069571,6,8,1,0.136032,0.070601,0.000078,3
4,0.012004,0.467968,2.818282,1.000002,112.850113,183.314056,0.956056,28.918068,3.614759,18,0.202064,735.928772,0.025832,0.021986,36777.41018,0.069571,6,8,1,0.136032,0.070601,0.000078,3
2,0.020048,1,1.598541,1.000012,292.754852,223.225555,2.081658,7.333333,0.916667,10,0.075485,642.765747,0.017533,0.013931,76767.47224,0.332609,9,13,3,0.004781,0.197769,0.00007,3
2,0.020048,1,1.598541,1.000012,292.754852,223.225555,2.081658,7.333333,0.916667,10,0.075485,642.765747,0.017533,0.013931,76767.47224,0.332609,8,13,3,0.004781,0.197769,0.00007,3
2,0.020048,1,1.598541,1.000012,292.754852,223.225555,2.081658,7.333333,0.916667,10,0.075485,642.765747,0.017533,0.013931,76767.47224,0.332609,7,13,3,0.004781,0.197769,0.00007,3
1,0.022129,0.622441,9.442785,1.000015,292.855621,2.946402,0.342361,0.364153,0.364153,2,0.035551,18.852593,0.011303,0.011303,76767.47224,0.332609,9,13,3,0.004781,0.197769,0.00007,3
1,0.022129,0.622441,9.442785,1.000015,292.855621,2.946402,0.342361,0.364153,0.364153,2,0.035551,18.852593,0.011303,0.011303,76767.47224,0.332609,8,13,3,0.004781,0.197769,0.00007,3
1,0.022129,0.622441,9.442785,1.000015,292.855621,2.946402,0.342361,0.364153,0.364153,2,0.035551,18.852593,0.011303,0.011303,76767.47224,0.332609,7,13,3,0.004781,0.197769,0.00007,3
1,0.022074,0.592475,1.266644,1.000001,292.831238,2.037092,1.472387,0.358457,0.358457,2,0.037258,5.16345,0.011951,0.011951,76767.47224,0.332609,7,13,3,0.004781,0.197769,0.00007,3
1,0.022074,0.592475,1.266644,1.000001,292.831238,2.037092,1.472387,0.358457,0.358457,2,0.037258,5.16345,0.011951,0.011951,76767.47224,0.332609,6,13,3,0.004781,0.197769,0.00007,3
3,0.013647,0.532032,1.241143,1.000005,292.896393,183.880722,1.686585,25.939423,3.242428,18,0.202064,735.928772,0.030608,0.024075,28311.65445,0.213471,6,9,8,0.039026,0.397151,0.000065,3
3,0.013647,0.532032,1.241143,1.000005,292.896393,183.880722,1.686585,25.939423,3.242428,18,0.202064,735.928772,0.030608,0.024075,28311.65445,0.213471,6,9,8,0.039026,0.397151,0.000065,3
3,0.013647,0.532032,1.241143,1.000005,292.896393,183.880722,1.686585,25.939423,3.242428,18,0.202064,735.928772,0.030608,0.024075,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
3,0.013647,0.532032,1.241143,1.000005,292.896393,183.880722,1.686585,25.939423,3.242428,18,0.202064,735.928772,0.030608,0.024075,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
3,0.000914,0.331017,0,1,323.29007,275.540009,1086.417603,11.940852,1.492607,18,0.202064,735.928772,0.034072,0.02635,28311.65445,0.213471,6,9,8,0.039026,0.397151,0.000065,3
2,0.00909,1,5.099088,1.000059,318.38797,182.584412,0.793129,7.333333,0.916667,18,0.202064,735.928772,0.037504,0.029507,28311.65445,0.213471,6,9,8,0.039026,0.397151,0.000065,3
0,0.014417,1,1.6334,1.000002,112.804512,0.549272,1.820591,0.333333,0.333333,1,0.014417,1.6334,0.004806,0.004806,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.017524,0.359039,2.144311,1.000002,292.840637,38.764729,0.509658,0.2731,0.2731,4,0.048807,90.601875,0.017739,0.017637,28311.65445,0.213471,6,9,8,0.039026,0.397151,0.000065,3
1,0.017524,0.359039,2.144311,1.000002,292.840637,38.764729,0.509658,0.2731,0.2731,4,0.048807,90.601875,0.017739,0.017637,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.03848,0.568097,28.072985,1.000108,36.08905,14.171166,0.081709,0.352941,0.352941,2,0.067735,72.590897,0.021914,0.021913,85549.62749,0.647488,6,11,8,0.025058,0.047741,0.000062,3
0,0.008959,1,3.614942,1.000004,292.75412,1.207967,0.827837,0.333333,0.333333,1,0.008959,3.614942,0.002986,0.002986,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
0,0.008959,1,3.614942,1.000004,292.75412,1.207967,0.827837,0.333333,0.333333,1,0.008959,3.614942,0.002986,0.002986,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.001848,0.668983,2.620834,1.000259,317.455902,281.450775,0.920648,5.053508,0.631689,18,0.202064,735.928772,0.035261,0.025786,28311.65445,0.213471,6,9,8,0.039026,0.397151,0.000065,3
1,0.001848,0.668983,2.620834,1.000259,317.455902,281.450775,0.920648,5.053508,0.631689,18,0.202064,735.928772,0.035261,0.025786,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.001848,0.668983,2.620834,1.000259,317.455902,281.450775,0.920648,5.053508,0.631689,18,0.202064,735.928772,0.035261,0.025786,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.0121,0.885817,110.841507,1.015833,42.749451,35.594147,0.028528,0.362703,0.362703,2,0.01366,115.487862,0.004353,0.004294,87111.65363,0.408749,8,12,2,0.004411,0.082348,0.000061,3
2,0.022337,1,163.369934,1.013368,36.829105,468.066742,0.075547,25.333334,0.974359,68,0.812358,1963.953003,0.065871,0.042293,87111.65363,0.408749,8,12,2,0.004411,0.082348,0.000061,3
1,0.00156,0.114183,4.646368,1.000805,19.964083,22.38109,0.109038,0.105491,0.105491,2,0.01366,115.487877,0.00611,0.006083,87111.65363,0.408749,8,12,2,0.004411,0.082348,0.000061,3
2,0.008334,0.129756,57.146507,1.001091,29.731539,62.559982,0.022281,0.453093,0.453093,4,0.064231,309.560455,0.017564,0.017471,87111.65363,0.408749,8,12,2,0.004411,0.082348,0.000061,3
1,0.002327,0.099293,344.611694,11.751267,309.249451,300.264801,0.003679,0.09272,0.09272,4,0.02344,413.148041,0.010633,0.00936,47572.8006,0.231595,7,9,5,0.022277,0.039602,0.000069,3
1,0.005364,0.228856,4.639148,1.000062,106.523071,56.909435,0.168701,0.193939,0.193939,4,0.02344,413.148041,0.009447,0.009216,47572.8006,0.231595,5,9,5,0.022277,0.039602,0.000069,3
1,0.005364,0.228856,4.639148,1.000062,106.523071,56.909435,0.168701,0.193939,0.193939,4,0.02344,413.148041,0.009447,0.009216,47572.8006,0.231595,6,9,5,0.022277,0.039602,0.000069,3
3,0.003931,1,1.824318,1.000022,288.588196,165.1642,1.901206,25.333334,0.974359,68,0.812358,1963.953003,0.048973,0.040983,87111.65363,0.408749,8,12,2,0.004411,0.082348,0.000061,3
3,0.003931,1,1.824318,1.000022,288.588196,165.1642,1.901206,25.333334,0.974359,68,0.812358,1963.953003,0.048973,0.040983,47572.8006,0.231595,8,9,5,0.022277,0.039602,0.000069,3
2,0.010357,0.161239,45.143345,1.000639,9.524073,86.915466,0.019521,0.322806,0.322806,4,0.064231,309.560455,0.021748,0.021432,87111.65363,0.408749,8,12,2,0.004411,0.082348,0.000061,3
1,0.003255,0.114788,7.947729,1.000502,172.235764,71.019806,0.054961,0.106004,0.106004,4,0.028353,130.281113,0.012674,0.012374,47572.8006,0.231595,6,9,5,0.022277,0.039602,0.000069,3
2,0.006254,0.220576,30.596714,1.002153,28.213314,23.765795,0.05621,0.398283,0.398283,4,0.028353,130.281113,0.00853,0.008478,47572.8006,0.231595,6,9,5,0.022277,0.039602,0.000069,3
2,0.006254,0.220576,30.596714,1.002153,28.213314,23.765795,0.05621,0.398283,0.398283,4,0.028353,130.281113,0.00853,0.008478,47572.8006,0.231595,7,9,5,0.022277,0.039602,0.000069,3
2,0.006254,0.220576,30.596714,1.002153,28.213314,23.765795,0.05621,0.398283,0.398283,4,0.028353,130.281113,0.00853,0.008478,47572.8006,0.231595,6,9,5,0.022277,0.039602,0.000069,3
2,0.001661,0.058581,3.420155,1.000446,31.017963,41.686184,0.073611,0.246068,0.246068,4,0.028353,130.281113,0.010688,0.010645,47572.8006,0.231595,6,9,5,0.022277,0.039602,0.000069,3
1,0.01944,0.539952,15.818814,1.000096,112.790237,6.285702,0.163888,0.345586,0.345586,2,0.036003,36.54982,0.01178,0.01178,89589.49598,0.553817,8,10,1,0.001458,0.080426,0.000065,3
1,0.01944,0.539952,15.818814,1.000096,112.790237,6.285702,0.163888,0.345586,0.345586,2,0.036003,36.54982,0.01178,0.01178,89589.49598,0.553817,8,10,1,0.001458,0.080426,0.000065,3
1,0.01944,0.539952,15.818814,1.000096,112.790237,6.285702,0.163888,0.345586,0.345586,2,0.036003,36.54982,0.01178,0.01178,89589.49598,0.553817,8,9,5,0.001458,0.080426,0.000065,3
1,0.01944,0.539952,15.818814,1.000096,112.790237,6.285702,0.163888,0.345586,0.345586,2,0.036003,36.54982,0.01178,0.01178,47572.8006,0.231595,8,9,5,0.022277,0.039602,0.000069,3
1,0.01944,0.539952,15.818814,1.000096,112.790237,6.285702,0.163888,0.345586,0.345586,2,0.036003,36.54982,0.01178,0.01178,89589.49598,0.553817,7,10,1,0.001458,0.080426,0.000065,3
1,0.01944,0.539952,15.818814,1.000096,112.790237,6.285702,0.163888,0.345586,0.345586,2,0.036003,36.54982,0.01178,0.01178,47572.8006,0.231595,7,9,5,0.022277,0.039602,0.000069,3
1,0.01944,0.539952,15.818814,1.000096,112.790237,6.285702,0.163888,0.345586,0.345586,2,0.036003,36.54982,0.01178,0.01178,89589.49598,0.553817,6,10,1,0.001458,0.080426,0.000065,3
1,0.01944,0.539952,15.818814,1.000096,112.790237,6.285702,0.163888,0.345586,0.345586,2,0.036003,36.54982,0.01178,0.01178,47572.8006,0.231595,6,9,5,0.022277,0.039602,0.000069,3
4,0.007209,0.934515,2.616421,1.000062,20.178331,178.076248,1.352429,194.465546,7.479444,68,0.812358,1963.953003,0.049413,0.04022,47572.8006,0.231595,8,9,5,0.022277,0.039602,0.000069,3
4,0.007209,0.934515,2.616421,1.000062,20.178331,178.076248,1.352429,194.465546,7.479444,68,0.812358,1963.953003,0.049413,0.04022,47572.8006,0.231595,9,9,5,0.022277,0.039602,0.000069,3
4,0.007209,0.934515,2.616421,1.000062,20.178331,178.076248,1.352429,194.465546,7.479444,68,0.812358,1963.953003,0.049413,0.04022,47572.8006,0.231595,8,9,5,0.022277,0.039602,0.000069,3
1,0.00057,0.177376,3.780522,1.000006,160.896195,240.663544,0.283398,4.590801,0.176569,68,0.812358,1963.953003,0.052555,0.041731,47572.8006,0.231595,7,9,5,0.022277,0.039602,0.000069,3
3,0.000505,0.065485,0,1,21.413963,180.222336,389.41922,177.175873,6.814457,68,0.812358,1963.953003,0.051978,0.041033,47572.8006,0.231595,9,9,5,0.022277,0.039602,0.000069,3
3,0.000505,0.065485,0,1,21.413963,180.222336,389.41922,177.175873,6.814457,68,0.812358,1963.953003,0.051978,0.041033,87111.65363,0.408749,8,12,2,0.004411,0.082348,0.000061,3
3,0.000505,0.065485,0,1,21.413963,180.222336,389.41922,177.175873,6.814457,68,0.812358,1963.953003,0.051978,0.041033,47572.8006,0.231595,8,9,5,0.022277,0.039602,0.000069,3
3,0.002478,0.024209,18.66029,1.002106,36.301029,215.425049,0.226152,49.418598,1.900715,68,0.812358,1963.953003,0.053297,0.041255,87111.65363,0.408749,9,12,2,0.004411,0.082348,0.000061,3
3,0.002478,0.024209,18.66029,1.002106,36.301029,215.425049,0.226152,49.418598,1.900715,68,0.812358,1963.953003,0.053297,0.041255,47572.8006,0.231595,9,9,5,0.022277,0.039602,0.000069,3
3,0.002478,0.024209,18.66029,1.002106,36.301029,215.425049,0.226152,49.418598,1.900715,68,0.812358,1963.953003,0.053297,0.041255,87111.65363,0.408749,8,12,2,0.004411,0.082348,0.000061,3
3,0.002413,0.624126,22.579624,1.003305,15.396431,214.136063,0.267753,125.25779,4.817607,68,0.812358,1963.953003,0.0531,0.041513,87111.65363,0.408749,9,12,2,0.004411,0.082348,0.000061,3
3,0.002413,0.624126,22.579624,1.003305,15.396431,214.136063,0.267753,125.25779,4.817607,68,0.812358,1963.953003,0.0531,0.041513,87111.65363,0.408749,8,12,2,0.004411,0.082348,0.000061,3
1,0.009222,0.083831,14.691773,1.000155,26.746307,110.841225,0.024708,0.079146,0.079146,2,0.110008,189.08107,0.050651,0.05055,47572.8006,0.231595,7,9,5,0.022277,0.039602,0.000069,3
1,0.009222,0.083831,14.691773,1.000155,26.746307,110.841225,0.024708,0.079146,0.079146,2,0.110008,189.08107,0.050651,0.05055,47572.8006,0.231595,8,9,5,0.022277,0.039602,0.000069,3
1,0.009222,0.083831,14.691773,1.000155,26.746307,110.841225,0.024708,0.079146,0.079146,2,0.110008,189.08107,0.050651,0.05055,47572.8006,0.231595,7,9,5,0.022277,0.039602,0.000069,3
1,0.017184,0.606055,88.316521,1.078292,22.886732,35.21508,0.034336,0.361187,0.361187,4,0.028353,130.281113,0.009056,0.008749,47572.8006,0.231595,7,9,5,0.022277,0.039602,0.000069,3
1,0.017184,0.606055,88.316521,1.078292,22.886732,35.21508,0.034336,0.361187,0.361187,4,0.028353,130.281113,0.009056,0.008749,89589.49598,0.553817,6,10,1,0.001458,0.080426,0.000065,3
1,0.017184,0.606055,88.316521,1.078292,22.886732,35.21508,0.034336,0.361187,0.361187,4,0.028353,130.281113,0.009056,0.008749,47572.8006,0.231595,6,9,5,0.022277,0.039602,0.000069,3
1,0.017184,0.606055,88.316521,1.078292,22.886732,35.21508,0.034336,0.361187,0.361187,4,0.028353,130.281113,0.009056,0.008749,89589.49598,0.553817,6,10,1,0.001458,0.080426,0.000065,3
1,0.003239,1,380.192413,,,431.484222,0.023211,7.333333,0.916667,10,0.075485,642.765686,0.026674,0.023506,76767.47224,0.332609,7,13,3,0.004781,0.197769,0.00007,3
1,0.003239,1,380.192413,,,431.484222,0.023211,7.333333,0.916667,10,0.075485,642.765686,0.026674,0.023506,85549.62749,0.647488,7,11,8,0.025058,0.047741,0.000062,3
1,0.003239,1,380.192413,,,431.484222,0.023211,7.333333,0.916667,10,0.075485,642.765686,0.026674,0.023506,85549.62749,0.647488,7,11,8,0.025058,0.047741,0.000062,3
0,0.002277,1,445.645813,,,148.549393,0.006732,0.333333,0.333333,1,0.002277,445.645874,0.000759,0.000526,4896.397793,0.012755,6,7,4,0.683588,0.972649,0,3
0,0.002277,1,445.645813,,,148.549393,0.006732,0.333333,0.333333,1,0.002277,445.645874,0.000759,0.000526,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
0,0.002277,1,445.645813,,,148.549393,0.006732,0.333333,0.333333,1,0.002277,445.645874,0.000759,0.000526,36777.41018,0.069571,6,8,1,0.136032,0.070601,0.000078,3
0,0.002277,1,445.645813,,,148.549393,0.006732,0.333333,0.333333,1,0.002277,445.645874,0.000759,0.000526,4896.397793,0.012755,6,7,4,0.683588,0.972649,0,3
0,0.002277,1,445.645813,,,148.549393,0.006732,0.333333,0.333333,1,0.002277,445.645874,0.000759,0.000526,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.001801,1,345.480713,,,183.999283,0.012639,1.333333,0.666667,2,0.002709,414.040985,0.000977,0.000751,4896.397793,0.012755,6,7,4,0.683588,0.972649,0,3
1,0.001801,1,345.480713,,,183.999283,0.012639,1.333333,0.666667,2,0.002709,414.040985,0.000977,0.000751,85549.62749,0.647488,6,11,8,0.025058,0.047741,0.000062,3
1,0.001801,1,345.480713,,,183.999283,0.012639,1.333333,0.666667,2,0.002709,414.040985,0.000977,0.000751,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
4,0.037902,1,1315.944946,1.215288,38.15826,1122.874878,0.014871,67.333336,5.611111,14,0.110253,4139.366211,0.031591,0.018322,4896.397793,0.012755,6,7,4,0.683588,0.972649,0,3
2,0.000832,1,133.019257,2.451431,295.031647,1400.816895,0.030314,11.333333,0.944444,14,0.110253,4139.366699,0.037225,0.029126,4896.397793,0.012755,6,7,4,0.683588,0.972649,0,3
2,0.000832,1,133.019257,2.451431,295.031647,1400.816895,0.030314,11.333333,0.944444,14,0.110253,4139.366699,0.037225,0.029126,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
2,0.000908,1,68.560272,1.089816,173.25827,137.845734,0.047712,1.333333,0.666667,2,0.002709,414.040985,0.000829,0.000627,4896.397793,0.012755,6,7,4,0.683588,0.972649,0,3
3,0.048134,0.996487,1833.406494,1.256743,27.396872,1866.083008,0.008088,47.309902,3.942492,14,0.110253,4139.367188,0.05032,0.017406,4896.397793,0.012755,6,7,4,0.683588,0.972649,0,3
3,0.00017,0.003514,0,1,115.029182,1358.790161,62.123436,53.978912,4.498243,14,0.110253,4139.366699,0.036897,0.028822,4896.397793,0.012755,6,7,4,0.683588,0.972649,0,3
1,0.009666,0.36931,6.559186,1.000011,292.856567,1.542546,0.71066,0.278384,0.278384,2,0.026174,7.757812,0.009444,0.009444,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.009666,0.36931,6.559186,1.000011,292.856567,1.542546,0.71066,0.278384,0.278384,2,0.026174,7.757812,0.009444,0.009444,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.009666,0.36931,6.559186,1.000011,292.856567,1.542546,0.71066,0.278384,0.278384,2,0.026174,7.757812,0.009444,0.009444,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.009666,0.36931,6.559186,1.000011,292.856567,1.542546,0.71066,0.278384,0.278384,2,0.026174,7.757812,0.009444,0.009444,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.037486,0.583615,97.494476,1.000547,35.993622,70.892166,0.02268,0.356544,0.356544,4,0.064231,309.560455,0.020665,0.020478,76767.47224,0.332609,9,13,3,0.004781,0.197769,0.00007,3
1,0.037486,0.583615,97.494476,1.000547,35.993622,70.892166,0.02268,0.356544,0.356544,4,0.064231,309.560455,0.020665,0.020478,76767.47224,0.332609,8,13,3,0.004781,0.197769,0.00007,3
1,0.004682,0.065005,0.680453,1.000001,36.111137,229.765381,0.288903,0.062187,0.062187,3,0.072019,683.506897,0.03377,0.032516,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
1,0.004682,0.065005,0.680453,1.000001,36.111137,229.765381,0.288903,0.062187,0.062187,3,0.072019,683.506897,0.03377,0.032516,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
3,0.005104,0.140034,24.11013,1.002791,65.082001,326.114563,0.092179,18.72662,1.70242,13,0.076609,485.134155,0.012534,0.007707,43512.60678,0.103083,6,7,0,0.005697,0.045943,0.000046,3
2,0.01174,0.325655,255.212204,1.055257,112.957222,192.549789,0.006998,0.428658,0.428658,4,0.036052,535.875977,0.010299,0.009224,22610.27775,0.014227,6,9,5,0.001453,0.045533,0.000039,3
2,0.01174,0.325655,255.212204,1.055257,112.957222,192.549789,0.006998,0.428658,0.428658,4,0.036052,535.875977,0.010299,0.009224,22610.27775,0.014227,6,9,5,0.001453,0.045533,0.000039,3
1,0.021252,0.782948,61.177982,1.004399,115.413872,41.328621,0.040508,0.374276,0.374276,3,0.027143,149.424408,0.008492,0.008374,24487.73097,0.019079,5,11,8,0.02096,0.086326,0.000067,3
